areaCode,areaName,areaType,date,newCasesByPublishDate
E12000001,North East,region,2021-07-06,2842
E12000001,North East,region,2021-07-05,2511
E12000001,North East,region,2021-07-04,2298
E12000001,North East,region,2021-07-03,2469
E12000001,North East,region,2021-07-02,2238
E12000001,North East,region,2021-07-01,2496
E12000001,North East,region,2021-06-30,2392
E12000001,North East,region,2021-06-29,1439
E12000001,North East,region,2021-06-28,2005
E12000001,North East,region,2021-06-27,1162
E12000001,North East,region,2021-06-26,1417
E12000001,North East,region,2021-06-25,1172
E12000001,North East,region,2021-06-24,1108
E12000001,North East,region,2021-06-23,1095
E12000001,North East,region,2021-06-22,714
E12000001,North East,region,2021-06-21,848
E12000001,North East,region,2021-06-20,641
E12000001,North East,region,2021-06-19,742
E12000001,North East,region,2021-06-18,633
E12000001,North East,region,2021-06-17,647
E12000001,North East,region,2021-06-16,567
E12000001,North East,region,2021-06-15,518
E12000001,North East,region,2021-06-14,413
E12000001,North East,region,2021-06-13,301
E12000001,North East,region,2021-06-12,448
E12000001,North East,region,2021-06-11,315
E12000001,North East,region,2021-06-10,320
E12000001,North East,region,2021-06-09,302
E12000001,North East,region,2021-06-08,242
E12000001,North East,region,2021-06-07,210
E12000001,North East,region,2021-06-06,166
E12000001,North East,region,2021-06-05,239
E12000001,North East,region,2021-06-04,154
E12000001,North East,region,2021-06-03,113
E12000001,North East,region,2021-06-02,122
E12000001,North East,region,2021-06-01,78
E12000001,North East,region,2021-05-31,83
E12000001,North East,region,2021-05-30,120
E12000001,North East,region,2021-05-29,94
E12000001,North East,region,2021-05-28,97
E12000001,North East,region,2021-05-27,73
E12000001,North East,region,2021-05-26,92
E12000001,North East,region,2021-05-25,66
E12000001,North East,region,2021-05-24,70
E12000001,North East,region,2021-05-23,56
E12000001,North East,region,2021-05-22,70
E12000001,North East,region,2021-05-21,61
E12000001,North East,region,2021-05-20,77
E12000001,North East,region,2021-05-19,74
E12000001,North East,region,2021-05-18,0
E12000001,North East,region,2021-05-17,72
E12000001,North East,region,2021-05-16,54
E12000001,North East,region,2021-05-15,83
E12000001,North East,region,2021-05-14,74
E12000001,North East,region,2021-05-13,108
E12000001,North East,region,2021-05-12,76
E12000001,North East,region,2021-05-11,101
E12000001,North East,region,2021-05-10,77
E12000001,North East,region,2021-05-09,83
E12000001,North East,region,2021-05-08,97
E12000001,North East,region,2021-05-07,55
E12000001,North East,region,2021-05-06,97
E12000001,North East,region,2021-05-05,105
E12000001,North East,region,2021-05-04,84
E12000001,North East,region,2021-05-03,63
E12000001,North East,region,2021-05-02,54
E12000001,North East,region,2021-05-01,80
E12000001,North East,region,2021-04-30,92
E12000001,North East,region,2021-04-29,94
E12000001,North East,region,2021-04-28,89
E12000001,North East,region,2021-04-27,129
E12000001,North East,region,2021-04-26,88
E12000001,North East,region,2021-04-25,69
E12000001,North East,region,2021-04-24,57
E12000001,North East,region,2021-04-23,95
E12000001,North East,region,2021-04-22,99
E12000001,North East,region,2021-04-21,118
E12000001,North East,region,2021-04-20,83
E12000001,North East,region,2021-04-19,109
E12000001,North East,region,2021-04-18,63
E12000001,North East,region,2021-04-17,81
E12000001,North East,region,2021-04-16,90
E12000001,North East,region,2021-04-15,94
E12000001,North East,region,2021-04-14,59
E12000001,North East,region,2021-04-13,117
E12000001,North East,region,2021-04-12,184
E12000001,North East,region,2021-04-11,63
E12000001,North East,region,2021-04-10,68
E12000001,North East,region,2021-04-09,0
E12000001,North East,region,2021-04-08,123
E12000001,North East,region,2021-04-07,139
E12000001,North East,region,2021-04-06,74
E12000001,North East,region,2021-04-05,118
E12000001,North East,region,2021-04-04,94
E12000001,North East,region,2021-04-03,166
E12000001,North East,region,2021-04-02,134
E12000001,North East,region,2021-04-01,242
E12000001,North East,region,2021-03-31,275
E12000001,North East,region,2021-03-30,152
E12000001,North East,region,2021-03-29,414
E12000001,North East,region,2021-03-28,38
E12000001,North East,region,2021-03-27,0
E12000001,North East,region,2021-03-26,428
E12000001,North East,region,2021-03-25,440
E12000001,North East,region,2021-03-24,367
E12000001,North East,region,2021-03-23,323
E12000001,North East,region,2021-03-22,214
E12000001,North East,region,2021-03-21,232
E12000001,North East,region,2021-03-20,271
E12000001,North East,region,2021-03-19,293
E12000001,North East,region,2021-03-18,375
E12000001,North East,region,2021-03-17,260
E12000001,North East,region,2021-03-16,251
E12000001,North East,region,2021-03-15,301
E12000001,North East,region,2021-03-14,219
E12000001,North East,region,2021-03-13,259
E12000001,North East,region,2021-03-12,433
E12000001,North East,region,2021-03-11,297
E12000001,North East,region,2021-03-10,345
E12000001,North East,region,2021-03-09,288
